yelp_biz_name,rating_type,rating_date,rating
nice-green-bo-restaurant-new-york,yelp,06/01/12,4
nice-green-bo-restaurant-new-york,yelp,05/30/12,3
nice-green-bo-restaurant-new-york,yelp,05/18/12,4
nice-green-bo-restaurant-new-york,yelp,05/28/12,4
nice-green-bo-restaurant-new-york,yelp,05/26/12,4
nice-green-bo-restaurant-new-york,yelp,04/13/12,5
nice-green-bo-restaurant-new-york,yelp,04/26/12,1
nice-green-bo-restaurant-new-york,yelp,04/09/12,3
nice-green-bo-restaurant-new-york,yelp,04/03/12,4
nice-green-bo-restaurant-new-york,yelp,05/06/12,5
nice-green-bo-restaurant-new-york,yelp,02/28/12,5
nice-green-bo-restaurant-new-york,yelp,02/21/12,4
nice-green-bo-restaurant-new-york,yelp,05/01/12,4
nice-green-bo-restaurant-new-york,yelp,01/14/12,4
nice-green-bo-restaurant-new-york,yelp,04/17/12,3
nice-green-bo-restaurant-new-york,yelp,01/03/12,3
nice-green-bo-restaurant-new-york,yelp,01/09/12,4
nice-green-bo-restaurant-new-york,yelp,04/16/12,1
nice-green-bo-restaurant-new-york,yelp,02/04/12,5
nice-green-bo-restaurant-new-york,yelp,01/31/12,3
nice-green-bo-restaurant-new-york,yelp,01/02/12,4
nice-green-bo-restaurant-new-york,yelp,10/15/11,1
nice-green-bo-restaurant-new-york,yelp,03/06/12,5
nice-green-bo-restaurant-new-york,yelp,02/19/12,3
nice-green-bo-restaurant-new-york,yelp,12/23/11,1
nice-green-bo-restaurant-new-york,yelp,11/12/11,1
nice-green-bo-restaurant-new-york,yelp,02/16/12,4
nice-green-bo-restaurant-new-york,yelp,10/11/11,4
nice-green-bo-restaurant-new-york,yelp,01/08/12,3
nice-green-bo-restaurant-new-york,yelp,07/19/11,1
nice-green-bo-restaurant-new-york,yelp,10/18/11,3
nice-green-bo-restaurant-new-york,yelp,10/10/11,4
nice-green-bo-restaurant-new-york,yelp,09/26/11,5
nice-green-bo-restaurant-new-york,yelp,09/12/11,3
nice-green-bo-restaurant-new-york,yelp,05/09/11,4
nice-green-bo-restaurant-new-york,yelp,08/26/11,3
nice-green-bo-restaurant-new-york,yelp,09/17/11,4
nice-green-bo-restaurant-new-york,yelp,02/05/12,4
nice-green-bo-restaurant-new-york,yelp,01/16/12,5
nice-green-bo-restaurant-new-york,yelp,09/05/11,3
nice-green-bo-restaurant-new-york,yelp,02/02/12,3
nice-green-bo-restaurant-new-york,yelp,07/20/11,3
nice-green-bo-restaurant-new-york,yelp,06/23/11,4
nice-green-bo-restaurant-new-york,yelp,01/18/12,4
nice-green-bo-restaurant-new-york,yelp,01/11/12,4
nice-green-bo-restaurant-new-york,yelp,12/29/10,1
nice-green-bo-restaurant-new-york,yelp,08/24/11,4
nice-green-bo-restaurant-new-york,yelp,11/22/10,3
nice-green-bo-restaurant-new-york,yelp,02/07/11,2
nice-green-bo-restaurant-new-york,yelp,05/06/11,5
nice-green-bo-restaurant-new-york,yelp,12/31/11,5
nice-green-bo-restaurant-new-york,yelp,07/09/11,5
nice-green-bo-restaurant-new-york,yelp,04/07/11,1
nice-green-bo-restaurant-new-york,yelp,12/27/11,5
nice-green-bo-restaurant-new-york,yelp,03/02/11,1
nice-green-bo-restaurant-new-york,yelp,03/07/12,4
nice-green-bo-restaurant-new-york,yelp,12/18/10,3
nice-green-bo-restaurant-new-york,yelp,03/11/12,1
nice-green-bo-restaurant-new-york,yelp,06/04/11,3
nice-green-bo-restaurant-new-york,yelp,11/02/10,3
nice-green-bo-restaurant-new-york,yelp,11/13/11,4
nice-green-bo-restaurant-new-york,yelp,08/21/10,3
nice-green-bo-restaurant-new-york,yelp,10/13/10,4
nice-green-bo-restaurant-new-york,yelp,01/15/11,2
nice-green-bo-restaurant-new-york,yelp,01/09/11,4
nice-green-bo-restaurant-new-york,yelp,12/30/10,4
nice-green-bo-restaurant-new-york,yelp,11/18/09,2
nice-green-bo-restaurant-new-york,yelp,04/04/09,3
nice-green-bo-restaurant-new-york,yelp,03/12/09,1
nice-green-bo-restaurant-new-york,yelp,12/23/10,3
nice-green-bo-restaurant-new-york,yelp,07/12/07,4
nice-green-bo-restaurant-new-york,yelp,12/01/08,4
nice-green-bo-restaurant-new-york,yelp,11/17/09,4
nice-green-bo-restaurant-new-york,yelp,08/23/11,2
nice-green-bo-restaurant-new-york,yelp,02/15/08,5
nice-green-bo-restaurant-new-york,yelp,06/29/07,5
nice-green-bo-restaurant-new-york,yelp,04/05/08,2
nice-green-bo-restaurant-new-york,yelp,10/19/09,4
nice-green-bo-restaurant-new-york,yelp,07/23/08,5
nice-green-bo-restaurant-new-york,yelp,09/05/07,3
nice-green-bo-restaurant-new-york,yelp,11/08/07,4
nice-green-bo-restaurant-new-york,yelp,08/22/10,5
nice-green-bo-restaurant-new-york,yelp,07/04/08,3
nice-green-bo-restaurant-new-york,yelp,06/28/08,4
nice-green-bo-restaurant-new-york,yelp,11/30/09,4
nice-green-bo-restaurant-new-york,yelp,10/29/07,3
nice-green-bo-restaurant-new-york,yelp,11/24/07,4
nice-green-bo-restaurant-new-york,yelp,07/26/10,4
nice-green-bo-restaurant-new-york,yelp,10/11/07,4
nice-green-bo-restaurant-new-york,yelp,09/06/07,4
nice-green-bo-restaurant-new-york,yelp,09/15/07,1
nice-green-bo-restaurant-new-york,yelp,02/05/09,4
nice-green-bo-restaurant-new-york,yelp,08/07/08,4
nice-green-bo-restaurant-new-york,yelp,08/29/11,3
nice-green-bo-restaurant-new-york,yelp,04/03/07,5
nice-green-bo-restaurant-new-york,yelp,05/10/07,5
nice-green-bo-restaurant-new-york,yelp,11/12/08,4
nice-green-bo-restaurant-new-york,yelp,10/16/07,3
nice-green-bo-restaurant-new-york,yelp,12/12/08,2
nice-green-bo-restaurant-new-york,yelp,03/25/11,5
nice-green-bo-restaurant-new-york,yelp,07/07/08,2
nice-green-bo-restaurant-new-york,yelp,01/18/08,4
nice-green-bo-restaurant-new-york,yelp,10/10/08,4
nice-green-bo-restaurant-new-york,yelp,07/02/07,5
nice-green-bo-restaurant-new-york,yelp,01/08/09,5
nice-green-bo-restaurant-new-york,yelp,03/29/09,4
nice-green-bo-restaurant-new-york,yelp,12/17/10,1
nice-green-bo-restaurant-new-york,yelp,03/15/11,5
nice-green-bo-restaurant-new-york,yelp,09/09/08,3
nice-green-bo-restaurant-new-york,yelp,11/05/08,3
nice-green-bo-restaurant-new-york,yelp,01/17/10,3
nice-green-bo-restaurant-new-york,yelp,05/10/10,4
nice-green-bo-restaurant-new-york,yelp,04/18/07,4
nice-green-bo-restaurant-new-york,yelp,08/06/07,3
nice-green-bo-restaurant-new-york,yelp,03/31/07,4
nice-green-bo-restaurant-new-york,yelp,10/30/07,5
nice-green-bo-restaurant-new-york,yelp,02/19/08,1
nice-green-bo-restaurant-new-york,yelp,10/16/06,4
nice-green-bo-restaurant-new-york,yelp,11/25/07,3
nice-green-bo-restaurant-new-york,yelp,11/28/05,5
nice-green-bo-restaurant-new-york,yelp,08/27/07,4
nice-green-bo-restaurant-new-york,yelp,03/01/09,4
nice-green-bo-restaurant-new-york,yelp,02/05/10,4
nice-green-bo-restaurant-new-york,yelp,03/23/10,2
nice-green-bo-restaurant-new-york,yelp,01/04/07,5
nice-green-bo-restaurant-new-york,yelp,07/26/10,3
nice-green-bo-restaurant-new-york,yelp,02/07/10,4
nice-green-bo-restaurant-new-york,yelp,02/19/08,4
nice-green-bo-restaurant-new-york,yelp,07/27/09,4
nice-green-bo-restaurant-new-york,yelp,12/27/09,4
nice-green-bo-restaurant-new-york,yelp,09/11/11,3
nice-green-bo-restaurant-new-york,yelp,04/01/08,1
nice-green-bo-restaurant-new-york,yelp,02/21/10,3
nice-green-bo-restaurant-new-york,yelp,03/05/10,1
nice-green-bo-restaurant-new-york,yelp,12/09/09,4
nice-green-bo-restaurant-new-york,yelp,02/10/09,3
nice-green-bo-restaurant-new-york,yelp,03/15/09,4
nice-green-bo-restaurant-new-york,yelp,08/03/09,4
nice-green-bo-restaurant-new-york,yelp,05/25/07,4
nice-green-bo-restaurant-new-york,yelp,01/06/09,4
nice-green-bo-restaurant-new-york,yelp,07/19/11,3
nice-green-bo-restaurant-new-york,yelp,11/25/10,4
nice-green-bo-restaurant-new-york,yelp,02/06/09,3
nice-green-bo-restaurant-new-york,yelp,06/01/09,4
nice-green-bo-restaurant-new-york,yelp,08/02/07,4
nice-green-bo-restaurant-new-york,yelp,04/07/09,1
nice-green-bo-restaurant-new-york,yelp,02/24/10,5
nice-green-bo-restaurant-new-york,yelp,04/08/08,4
nice-green-bo-restaurant-new-york,yelp,12/25/08,4
nice-green-bo-restaurant-new-york,yelp,06/28/09,5
nice-green-bo-restaurant-new-york,yelp,03/01/10,2
nice-green-bo-restaurant-new-york,yelp,08/20/07,4
nice-green-bo-restaurant-new-york,yelp,09/24/09,4
nice-green-bo-restaurant-new-york,yelp,04/27/06,3
nice-green-bo-restaurant-new-york,yelp,07/14/07,4
nice-green-bo-restaurant-new-york,yelp,02/11/10,2
nice-green-bo-restaurant-new-york,yelp,08/22/10,5
nice-green-bo-restaurant-new-york,yelp,07/11/08,5
nice-green-bo-restaurant-new-york,yelp,06/22/11,4
nice-green-bo-restaurant-new-york,yelp,09/11/10,5
nice-green-bo-restaurant-new-york,yelp,02/13/09,4
nice-green-bo-restaurant-new-york,yelp,03/25/09,3
nice-green-bo-restaurant-new-york,yelp,09/17/07,5
nice-green-bo-restaurant-new-york,yelp,07/26/07,5
nice-green-bo-restaurant-new-york,yelp,03/18/09,4
nice-green-bo-restaurant-new-york,yelp,05/29/06,5
nice-green-bo-restaurant-new-york,yelp,02/23/09,3
nice-green-bo-restaurant-new-york,yelp,10/01/09,3
nice-green-bo-restaurant-new-york,yelp,10/29/09,3
